,Compound,Date,Negative,Neutral,Positive,Tweet_Count,User
197,0.0,Fri Mar 23 10:30:10 +0000 2018,1.0,0.0,0.0,2,@CBSNews
198,-0.5994,Fri Mar 23 10:30:10 +0000 2018,0.849,0.151,0.0,1,@CBSNews
199,0.34,Fri Mar 23 10:30:10 +0000 2018,0.876,0.0,0.124,0,@CBSNews
200,0.0,Fri Mar 23 10:30:10 +0000 2018,1.0,0.0,0.0,99,@CNN
201,-0.6597,Fri Mar 23 10:30:10 +0000 2018,0.773,0.227,0.0,98,@CNN
202,0.0,Fri Mar 23 10:30:10 +0000 2018,1.0,0.0,0.0,97,@CNN
203,0.0,Fri Mar 23 10:30:10 +0000 2018,1.0,0.0,0.0,96,@CNN
204,-0.2732,Fri Mar 23 10:30:10 +0000 2018,0.916,0.084,0.0,95,@CNN
205,0.2755,Fri Mar 23 10:30:10 +0000 2018,0.905,0.0,0.095,94,@CNN
206,0.0,Fri Mar 23 10:30:10 +0000 2018,1.0,0.0,0.0,93,@CNN
207,0.2846,Fri Mar 23 10:30:10 +0000 2018,0.634,0.15,0.216,92,@CNN
208,0.0,Fri Mar 23 10:30:10 +0000 2018,1.0,0.0,0.0,91,@CNN
209,0.0,Fri Mar 23 10:30:10 +0000 2018,1.0,0.0,0.0,90,@CNN
210,-0.7096,Fri Mar 23 10:30:10 +0000 2018,0.763,0.237,0.0,89,@CNN
211,-0.5574,Fri Mar 23 10:30:10 +0000 2018,0.833,0.167,0.0,88,@CNN
212,0.3182,Fri Mar 23 10:30:10 +0000 2018,0.881,0.0,0.119,87,@CNN
213,0.7096,Fri Mar 23 10:30:10 +0000 2018,0.642,0.087,0.272,86,@CNN
214,-0.1796,Fri Mar 23 10:30:10 +0000 2018,0.693,0.169,0.138,85,@CNN
215,0.128,Fri Mar 23 10:30:10 +0000 2018,0.919,0.0,0.081,84,@CNN
216,-0.5423,Fri Mar 23 10:30:10 +0000 2018,0.8,0.2,0.0,83,@CNN
217,0.0,Fri Mar 23 10:30:10 +0000 2018,1.0,0.0,0.0,82,@CNN
218,0.0,Fri Mar 23 10:30:10 +0000 2018,0.769,0.115,0.115,81,@CNN
219,0.0,Fri Mar 23 10:30:10 +0000 2018,1.0,0.0,0.0,80,@CNN
220,-0.5574,Fri Mar 23 10:30:10 +0000 2018,0.847,0.153,0.0,79,@CNN
221,-0.5574,Fri Mar 23 10:30:10 +0000 2018,0.833,0.167,0.0,78,@CNN
222,0.743,Fri Mar 23 10:30:10 +0000 2018,0.76,0.0,0.24,77,@CNN
223,-0.3818,Fri Mar 23 10:30:10 +0000 2018,0.86,0.14,0.0,76,@CNN
224,-0.2732,Fri Mar 23 10:30:10 +0000 2018,0.9,0.1,0.0,75,@CNN
225,-0.5719,Fri Mar 23 10:30:10 +0000 2018,0.793,0.207,0.0,74,@CNN
226,-0.2732,Fri Mar 23 10:30:10 +0000 2018,0.913,0.087,0.0,73,@CNN
227,0.0772,Fri Mar 23 10:30:10 +0000 2018,0.796,0.095,0.109,72,@CNN
228,0.128,Fri Mar 23 10:30:10 +0000 2018,0.742,0.096,0.162,71,@CNN
229,-0.0644,Fri Mar 23 10:30:10 +0000 2018,0.95,0.05,0.0,70,@CNN
230,-0.765,Fri Mar 23 10:30:10 +0000 2018,0.752,0.248,0.0,69,@CNN
231,0.0,Fri Mar 23 10:30:10 +0000 2018,1.0,0.0,0.0,68,@CNN
232,-0.5574,Fri Mar 23 10:30:10 +0000 2018,0.841,0.159,0.0,67,@CNN
233,-0.0572,Fri Mar 23 10:30:10 +0000 2018,0.94,0.06,0.0,66,@CNN
234,0.743,Fri Mar 23 10:30:10 +0000 2018,0.717,0.0,0.283,65,@CNN
235,0.0,Fri Mar 23 10:30:10 +0000 2018,1.0,0.0,0.0,64,@CNN
236,0.0,Fri Mar 23 10:30:10 +0000 2018,1.0,0.0,0.0,63,@CNN
237,0.4767,Fri Mar 23 10:30:10 +0000 2018,0.779,0.065,0.156,62,@CNN
238,-0.34,Fri Mar 23 10:30:10 +0000 2018,0.806,0.194,0.0,61,@CNN
239,0.4019,Fri Mar 23 10:30:10 +0000 2018,0.764,0.0,0.236,60,@CNN
240,0.4019,Fri Mar 23 10:30:10 +0000 2018,0.829,0.0,0.171,59,@CNN
241,0.0379,Fri Mar 23 10:30:10 +0000 2018,0.857,0.068,0.075,58,@CNN
242,0.0,Fri Mar 23 10:30:10 +0000 2018,1.0,0.0,0.0,57,@CNN
243,0.128,Fri Mar 23 10:30:10 +0000 2018,0.742,0.096,0.162,56,@CNN
244,0.4019,Fri Mar 23 10:30:10 +0000 2018,0.821,0.0,0.179,55,@CNN
245,0.0772,Fri Mar 23 10:30:10 +0000 2018,0.925,0.0,0.075,54,@CNN
246,0.0,Fri Mar 23 10:30:10 +0000 2018,1.0,0.0,0.0,53,@CNN
247,0.4019,Fri Mar 23 10:30:10 +0000 2018,0.812,0.0,0.188,52,@CNN
248,-0.5994,Fri Mar 23 10:30:10 +0000 2018,0.849,0.151,0.0,51,@CNN
249,0.0772,Fri Mar 23 10:30:10 +0000 2018,0.949,0.0,0.051,50,@CNN
250,0.0,Fri Mar 23 10:30:10 +0000 2018,1.0,0.0,0.0,49,@CNN
251,0.0,Fri Mar 23 10:30:10 +0000 2018,1.0,0.0,0.0,48,@CNN
252,0.0,Fri Mar 23 10:30:10 +0000 2018,1.0,0.0,0.0,47,@CNN
253,0.0,Fri Mar 23 10:30:10 +0000 2018,1.0,0.0,0.0,46,@CNN
254,-0.2023,Fri Mar 23 10:30:10 +0000 2018,0.697,0.168,0.135,45,@CNN
255,0.34,Fri Mar 23 10:30:10 +0000 2018,0.876,0.0,0.124,44,@CNN
256,0.3612,Fri Mar 23 10:30:10 +0000 2018,0.902,0.0,0.098,43,@CNN
257,0.0,Fri Mar 23 10:30:10 +0000 2018,1.0,0.0,0.0,42,@CNN
258,0.0,Fri Mar 23 10:30:10 +0000 2018,1.0,0.0,0.0,41,@CNN
259,0.0,Fri Mar 23 10:30:10 +0000 2018,1.0,0.0,0.0,40,@CNN
260,0.0,Fri Mar 23 10:30:10 +0000 2018,0.747,0.126,0.126,39,@CNN
261,0.5423,Fri Mar 23 10:30:10 +0000 2018,0.816,0.0,0.184,38,@CNN
262,-0.0516,Fri Mar 23 10:30:10 +0000 2018,0.796,0.106,0.097,37,@CNN
263,0.296,Fri Mar 23 10:30:10 +0000 2018,0.896,0.0,0.104,36,@CNN
264,0.4019,Fri Mar 23 10:30:10 +0000 2018,0.829,0.0,0.171,35,@CNN
265,-0.6486,Fri Mar 23 10:30:10 +0000 2018,0.777,0.223,0.0,34,@CNN
266,-0.4215,Fri Mar 23 10:30:10 +0000 2018,0.877,0.123,0.0,33,@CNN
267,0.7717,Fri Mar 23 10:30:10 +0000 2018,0.705,0.0,0.295,32,@CNN
268,-0.0772,Fri Mar 23 10:30:10 +0000 2018,0.769,0.121,0.109,31,@CNN
269,0.4019,Fri Mar 23 10:30:10 +0000 2018,0.85,0.0,0.15,30,@CNN
270,-0.34,Fri Mar 23 10:30:10 +0000 2018,0.882,0.118,0.0,29,@CNN
271,0.0,Fri Mar 23 10:30:10 +0000 2018,1.0,0.0,0.0,28,@CNN
272,0.0,Fri Mar 23 10:30:10 +0000 2018,1.0,0.0,0.0,27,@CNN
273,0.0,Fri Mar 23 10:30:10 +0000 2018,1.0,0.0,0.0,26,@CNN
274,-0.9432,Fri Mar 23 10:30:10 +0000 2018,0.423,0.577,0.0,25,@CNN
275,-0.6597,Fri Mar 23 10:30:10 +0000 2018,0.773,0.227,0.0,24,@CNN
276,-0.7713,Fri Mar 23 10:30:10 +0000 2018,0.712,0.288,0.0,23,@CNN
277,-0.0772,Fri Mar 23 10:30:10 +0000 2018,0.915,0.085,0.0,22,@CNN
